Generator,Level,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,16,13,3,81.25,2.45,4.48,1.40,3.11,False
Random Generator,2,16,13,3,81.25,3.58,7.72,1.08,3.18,False
Random Generator,3,16,12,4,75.00,3.11,9.69,1.37,3.92,False
Random Generator,4,16,14,2,87.50,2.82,7.42,0.76,3.26,False
Random Generator,5,16,10,6,62.50,4.30,10.76,1.81,3.58,False
Random Generator,6,16,13,3,81.25,3.56,8.09,1.38,3.96,False
Random Generator,7,16,9,7,56.25,3.88,8.64,1.41,3.18,False
Random Generator,8,16,12,4,75.00,3.29,10.76,1.38,3.07,False
Random Generator,9,16,8,8,50.00,4.78,10.05,1.41,3.04,False
Random Generator,10,16,8,8,50.00,4.25,9.24,1.70,3.54,False
Random Generator,11,16,13,3,81.25,2.84,7.16,1.16,2.58,False
Random Generator,12,16,11,5,68.75,2.61,6.75,1.95,3.75,False
Random Generator,13,16,13,3,81.25,2.36,5.01,1.31,3.22,False
Random Generator,14,16,10,6,62.50,4.00,7.82,1.53,3.44,False
Random Generator,15,16,11,5,68.75,4.12,7.77,1.59,3.50,False
Random Generator,16,16,12,4,75.00,3.45,7.45,1.60,3.94,False
Random Generator,17,16,13,3,81.25,2.87,5.17,1.33,3.09,False
Random Generator,18,16,15,1,93.75,3.23,6.94,0.82,2.44,False
Random Generator,19,16,13,3,81.25,4.05,8.26,1.05,2.34,False
Random Generator,20,16,12,4,75.00,3.54,8.27,1.74,3.97,False
Random Generator,21,16,15,1,93.75,2.60,4.18,1.39,2.57,False
Random Generator,22,16,14,2,87.50,2.85,8.21,1.03,2.23,False
Random Generator,23,16,11,5,68.75,3.76,9.20,1.29,2.93,False
Random Generator,24,16,10,6,62.50,3.05,10.07,1.45,3.54,False
Random Generator,25,16,14,2,87.50,3.24,7.66,1.53,3.53,False
Random Generator,26,16,12,4,75.00,2.87,6.66,1.38,2.99,False
Random Generator,27,16,13,3,81.25,3.52,8.13,1.03,3.74,False
Random Generator,28,16,13,3,81.25,3.25,5.43,1.39,3.98,False
Random Generator,29,16,12,4,75.00,3.06,5.82,1.88,3.77,False
Random Generator,30,16,9,7,56.25,4.08,7.73,1.56,3.43,False
Constraint Generator,1,16,16,0,100.00,2.04,3.41,0.94,1.91,True
Constraint Generator,2,16,16,0,100.00,2.10,3.22,0.85,1.91,True
Constraint Generator,3,16,16,0,100.00,2.14,3.23,0.82,1.82,True
Constraint Generator,4,16,16,0,100.00,2.07,3.44,1.16,2.46,True
Constraint Generator,5,16,16,0,100.00,2.17,3.17,1.32,3.08,True
Constraint Generator,6,16,16,0,100.00,2.18,3.17,0.87,1.95,True
Constraint Generator,7,16,16,0,100.00,2.10,3.20,1.19,3.24,True
Constraint Generator,8,16,16,0,100.00,2.04,3.38,1.11,3.65,True
Constraint Generator,9,16,16,0,100.00,2.08,3.07,1.12,3.08,True
Constraint Generator,10,16,16,0,100.00,2.12,3.41,0.81,1.89,True
Constraint Generator,11,16,16,0,100.00,2.21,3.14,0.96,2.49,True
Constraint Generator,12,16,16,0,100.00,2.16,3.42,0.94,2.14,True
Constraint Generator,13,16,16,0,100.00,2.06,3.39,0.86,2.26,True
Constraint Generator,14,16,16,0,100.00,2.06,2.99,0.79,2.22,True
Constraint Generator,15,16,16,0,100.00,2.20,3.24,1.01,1.88,True
Constraint Generator,16,16,16,0,100.00,2.15,3.31,1.37,3.23,True
Constraint Generator,17,16,16,0,100.00,2.07,3.41,0.66,2.11,True
Constraint Generator,18,16,16,0,100.00,2.05,3.38,1.27,3.48,True
Constraint Generator,19,16,16,0,100.00,2.14,3.45,0.82,2.12,True
Constraint Generator,20,16,16,0,100.00,2.11,3.36,1.25,2.61,True
Constraint Generator,21,16,16,0,100.00,2.03,2.84,0.92,3.64,True
Constraint Generator,22,16,16,0,100.00,2.03,3.54,1.30,3.34,True
Constraint Generator,23,16,16,0,100.00,2.03,3.37,0.88,1.90,True
Constraint Generator,24,16,16,0,100.00,2.12,3.38,0.93,2.47,True
Constraint Generator,25,16,16,0,100.00,2.16,3.49,1.04,3.31,True
Constraint Generator,26,16,16,0,100.00,1.96,3.35,0.68,1.53,True
Constraint Generator,27,16,16,0,100.00,2.06,3.31,0.93,2.64,True
Constraint Generator,28,16,16,0,100.00,2.04,3.31,0.83,2.78,True
Constraint Generator,29,16,16,0,100.00,2.17,3.39,0.72,1.99,True
Constraint Generator,30,16,16,0,100.00,2.12,3.29,0.93,2.87,True
