Generator,Level,RandomSeed,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,-739714882,16,11,5,68.75,3.35,7.69,1.32,3.47,False
Random Generator,2,1597522480,16,11,5,68.75,3.08,7.28,1.32,2.60,False
Random Generator,3,-678354863,16,13,3,81.25,2.94,9.22,1.24,3.62,False
Random Generator,4,1758356781,16,12,4,75.00,3.69,10.14,1.35,3.31,False
Random Generator,5,-1452033641,16,9,7,56.25,4.09,9.77,1.31,3.67,False
Random Generator,6,-2069497429,16,9,7,56.25,3.58,6.97,1.78,3.71,False
Random Generator,7,-1757017273,16,7,9,43.75,3.12,7.00,1.77,2.96,False
Random Generator,8,-269937516,16,7,9,43.75,3.45,7.82,2.05,3.73,False
Random Generator,9,1528993370,16,9,7,56.25,3.96,9.29,1.36,3.70,False
Random Generator,10,2121065369,16,9,7,56.25,3.53,8.06,1.28,3.57,False
Random Generator,11,1849132603,16,7,9,43.75,4.54,10.56,1.47,3.05,False
Random Generator,12,2115116805,16,12,4,75.00,3.72,8.23,0.94,2.98,False
Random Generator,13,-2133602927,16,9,7,56.25,4.22,7.69,1.67,3.07,False
Random Generator,14,-702788355,16,11,5,68.75,2.95,8.07,1.39,3.15,False
Random Generator,15,-467558053,16,7,9,43.75,4.01,8.34,1.57,3.38,False
Random Generator,16,427320682,16,11,5,68.75,3.40,9.12,1.24,3.63,False
Random Generator,17,-498789103,16,12,4,75.00,2.89,9.54,1.15,2.71,False
Random Generator,18,-471747485,16,11,5,68.75,3.10,7.52,1.49,3.90,False
Random Generator,19,144028243,16,15,1,93.75,2.79,5.58,1.11,2.22,False
Random Generator,20,-568711976,16,12,4,75.00,3.54,9.18,1.34,3.83,False
Random Generator,21,1982059155,16,8,8,50.00,4.69,8.64,1.26,2.96,False
Random Generator,22,-2118607774,16,11,5,68.75,3.37,9.16,1.26,3.01,False
Random Generator,23,1271858030,16,11,5,68.75,2.65,4.72,1.44,3.28,False
Random Generator,24,880044703,16,10,6,62.50,2.74,5.12,1.67,3.54,False
Random Generator,25,-1319783713,16,10,6,62.50,4.11,9.41,1.23,2.60,False
Random Generator,26,-424312068,16,11,5,68.75,3.57,10.46,1.27,3.23,False
Random Generator,27,-28080260,16,10,6,62.50,3.29,7.53,1.01,2.94,False
Random Generator,28,830628407,16,12,4,75.00,2.90,6.42,1.29,2.88,False
Random Generator,29,1299734306,16,14,2,87.50,3.06,6.40,1.26,3.14,False
Random Generator,30,1445953004,16,13,3,81.25,3.13,7.72,1.06,2.23,False
